text,label
dark alone empty empty broken,0
broken cold broken cold alone pain alone,0
dark dark alone lost,0
tears lost tears broken cry dark,0
pain dark tears miss,0
miss lost cold lost miss lost dark tears,0
broken pain cry cry miss pain,0
cold cold cry miss,0
empty cry pain cold tears broken,0
alone broken tears miss lost tears cry,0
lost cold miss alone dark,0
dark empty tears alone,0
miss dark broken dark pain alone dark cold,0
pain broken dark tears cry alone broken miss,0
cold cry cry alone pain lost broken broken,0
miss lost lost broken,0
pain lost cry dark cold pain empty,0
cold cold dark lost pain alone dark lost,0
broken broken broken empty broken cry empty,0
broken tears pain broken dark cold,0
alone cold pain tears cold lost,0
alone cry dark dark tears cry dark alone,0
alone pain lost lost,0
dark dark miss pain lost,0
cold tears empty alone cold cold,0
dark miss broken lost lost,0
pain cold miss dark lost cry,0
empty miss cold cry dark,0
pain pain dark broken tears empty,0
empty empty miss cold empty,0
pain tears cold dark cry,0
cry dark miss tears lost,0
cold dark alone lost miss lost tears tears,0
empty cold broken pain tears,0
miss dark alone cry alone cry broken,0
alone miss cold empty miss,0
cry cold empty pain pain dark miss,0
dark empty alone cry miss cry tears pain,0
tears alone alone miss alone,0
empty lost tears cold,0
pain broken miss cold lost dark lost cold,0
cold empty cold cry broken tears,0
cry cold cold tears,0
dark broken dark alone broken,0
miss miss lost cry pain lost,0
miss lost tears tears cry,0
empty alone tears lost empty alone cold miss,0
alone cold cry cold dark cry alone,0
cold alone broken miss lost cold empty alone,0
lost miss lost cry cold,0
alone miss miss pain alone alone broken empty,0
dark cold cry cry empty cold cry,0
tears tears tears cold tears miss alone miss,0
cry broken dark broken dark dark cry,0
lost dark lost dark dark tears cold cry,0
broken dark lost broken empty,0
broken pain pain dark pain miss tears empty,0
tears lost alone alone empty,0
pain broken tears alone empty,0
dark alone cold miss miss lost alone broken,0
miss pain cold broken broken broken alone miss,0
cry alone pain lost,0
miss lost empty pain dark alone,0
pain empty alone tears,0
cold broken empty empty,0
dark broken lost lost,0
dark empty alone broken tears alone,0
pain dark dark miss tears dark miss,0
miss dark tears dark tears miss alone miss,0
lost miss lost miss cold cry broken,0
cold alone pain empty cold miss,0
empty tears broken tears cry cry,0
pain lost broken cry cry dark cry dark,0
dark miss tears broken broken miss,0
miss empty cold alone pain,0
pain broken tears cry tears,0
broken alone broken alone miss tears lost pain,0
tears empty lost dark miss broken miss lost,0
tears alone lost miss,0
broken miss alone cry dark pain lost,0
tears broken dark broken dark cry,0
cold empty cry empty alone cry,0
cry pain cold empty empty miss,0
cry alone alone empty lost,0
dark broken tears pain,0
dark pain dark dark cold alone cry broken,0
broken tears lost tears cry miss dark,0
pain empty alone cold,0
dark lost cry dark cry,0
lost cry miss lost cold miss lost miss,0
dark empty pain cold alone empty pain pain,0
broken alone cold cold alone cry,0
pain tears tears pain alone pain,0
broken miss broken lost,0
broken alone empty broken dark pain tears empty,0
cry pain lost dark,0
empty dark dark broken cold broken,0
broken dark cold dark dark cry alone,0
broken broken broken tears broken miss pain,0
lost empty miss alone miss miss dark dark,0
dark tears cry tears,0
cry miss pain cry pain lost,0
dark dark dark tears dark,0
pain dark cry broken alone empty cold,0
cold cry cry dark cold cry miss,0
lost dark miss broken tears lost alone tears,0
empty alone empty miss tears lost cold broken,0
cry cold alone tears broken alone,0
cry cry broken dark broken broken miss,0
pain empty miss cold,0
tears lost miss alone cold,0
cold cold dark lost broken miss alone,0
dark empty pain cold empty miss empty lost,0
dark pain cry dark,0
cold tears dark lost pain dark miss cry,0
tears empty pain cry,0
broken cold pain cry cold cry broken,0
pain pain broken tears,0
cold miss tears alone broken tears broken cold,0
alone lost dark alone,0
cry miss empty miss dark cry,0
dark pain broken cold tears,0
broken cry pain broken,0
dark dark broken cold,0
cry pain lost miss broken pain miss,0
cold broken alone alone empty,0
empty cry tears miss,0
alone empty pain tears cry cry cry alone,0
cold broken cry cry cold lost,0
cry dark tears broken dark miss alone,0
broken miss miss empty cold,0
miss broken miss pain lost dark cry alone,0
cry pain lost alone,0
empty empty cold cry lost alone,0
dark cry empty miss pain dark miss broken,0
alone cry lost lost cry lost,0
miss empty pain tears dark broken,0
dark lost cry pain dark miss,0
dark dark dark broken cry,0
tears miss miss empty dark cold alone lost,0
pain tears cold cry dark cold dark cry,0
lost pain dark miss miss,0
broken dark alone pain empty cold cry broken,0
pain miss broken pain miss dark,0
cold empty pain lost cry dark,0
alone cold alone cry,0
broken dark pain tears alone miss miss miss,0
pain alone empty dark empty alone,0
dark broken tears lost lost pain,0
cry pain broken alone cold miss pain miss,0
pain alone lost empty,0
alone cold lost dark,0
tears broken pain tears,0
pain broken cold miss cold dark pain dark,0
dark empty lost cry lost tears pain alone,0
cold lost miss broken,0
miss cry cold lost cold,0
dark tears pain pain empty tears cold tears,0
broken miss empty alone dark empty,0
broken broken broken lost cry cold cry cry,0
empty alone cold empty empty tears,0
lost pain broken cry,0
miss broken lost broken alone broken broken alone,0
dark cold miss tears miss,0
empty dark alone tears,0
miss dark tears alone,0
cry dark broken cold pain broken dark cold,0
cold broken miss empty pain empty miss cold,0
broken alone broken pain pain,0
alone lost cry pain empty lost empty,0
broken dark empty lost alone,0
cold tears lost tears lost tears dark lost,0
pain cry alone miss lost cry lost,0
tears miss pain cold,0
empty tears broken empty empty dark,0
cold alone cry tears lost empty,0
broken cry cry broken miss,0
miss cry cold cry tears,0
tears pain cry broken,0
tears miss broken cold miss tears,0
tears cry broken dark miss empty cry,0
lost pain alone broken pain cold,0
lost dark dark miss lost,0
miss pain pain broken cry broken,0
lost dark miss broken cold lost miss broken,0
broken cold lost dark alone cold dark,0
alone empty tears cold,0
cry dark tears lost,0
broken alone tears empty miss broken tears,0
miss cry pain cold cold broken,0
alone cry cold lost,0
cry alone cold broken miss miss dark,0
pain cold miss tears dark broken,0
pain empty broken cry alone,0
dark alone broken pain dark pain,0
broken pain dark miss,0
cold alone alone dark cry cry pain miss,0
broken empty pain cold broken miss tears,0
miss lost dark alone dark,0
lost cry pain pain miss pain,0
cry alone dark pain tears broken dark broken,0
alone cry cry tears dark,0
empty cry cry dark lost,0
alone miss broken lost,0
tears lost tears pain miss broken cry dark,0
alone miss dark cry cold lost,0
cold miss alone dark dark empty pain pain,0
cry broken tears miss dark dark lost dark,0
tears broken empty lost lost cold cry,0
alone pain cry empty cry alone miss,0
cry empty tears lost cry broken,0
pain dark tears cold dark cry cold tears,0
pain cry dark miss empty cry cry,0
dark tears broken pain tears tears dark,0
alone empty pain pain miss empty alone dark,0
alone alone broken cold miss cold cry,0
pain broken empty dark broken alone,0
pain lost cry cold miss miss,0
dark pain dark broken,0
alone tears broken alone,0
dark miss lost pain broken,0
alone broken lost broken,0
pain cold alone cry tears lost dark miss,0
alone miss alone alone,0
cold dark lost dark,0
alone empty cold lost cry lost,0
dark tears cry alone empty miss cry tears,0
pain dark alone miss cold pain empty,0
dark dark lost alone miss pain dark,0
lost pain broken cold tears pain,0
cold pain pain cry,0
tears alone pain cold empty dark lost,0
broken empty empty miss empty alone,0
pain pain tears cold,0
tears cold pain lost pain,0
empty broken tears broken dark alone,0
lost pain empty empty cry empty empty,0
dark tears tears broken alone cold dark empty,0
cry broken cold cry empty tears dark tears,0
broken pain lost broken,0
cold empty alone cold alone,0
tears tears cry miss broken cry cold pain,0
alone broken miss broken cry dark,0
lost cold broken lost pain,0
empty empty broken empty empty lost,0
cold miss alone pain lost alone pain cry,0
broken cry dark broken empty,0
pain cold miss empty cry lost,0
pain lost alone dark lost tears dark,0
miss miss miss miss cry empty empty dark,0
tears pain cry dark cold,0
lost empty empty empty dark,0
miss dark tears cold,0
alone cry pain alone,0
dark lost broken empty cry cold miss miss,0
tears cold pain lost miss empty miss,0
empty empty cry pain cry pain empty,0
lost empty cold broken miss cry,0
pain miss miss dark cold empty alone,0
lost cold dark pain,0
tears pain empty cry dark cry cold,0
tears dark tears tears lost lost alone cold,0
tears lost cry empty alone,0
broken miss broken cold cry cold alone,0
broken lost broken tears dark cold,0
miss lost pain lost pain,0
miss alone broken empty miss alone alone cry,0
dark cry alone lost,0
pain cold pain pain cry alone tears,0
cold pain pain broken lost cry,0
broken cold dark alone empty lost cold,0
alone pain cold alone,0
lost miss pain cry cry,0
broken alone empty dark empty dark alone broken,0
pain pain broken miss alone,0
cry lost tears dark lost,0
cold broken miss cold broken broken miss cold,0
empty alone miss miss broken,0
lost dark lost alone tears broken empty,0
cry pain empty tears tears miss alone,0
dark dark miss pain tears miss tears alone,0
cry alone alone empty alone pain,0
broken tears broken empty tears cry broken broken,0
tears lost cry tears empty miss,0
miss cry broken cry,0
pain pain alone miss pain broken empty alone,0
cry alone empty pain,0
cry tears empty cold alone,0
broken miss miss cold,0
tears lost cold lost pain cold empty broken,0
cry empty lost miss cold dark lost,0
tears dark dark lost,0
pain broken broken cry dark,0
dark broken tears cry pain dark alone,0
cry empty lost dark broken,0
alone lost cold broken cold empty,0
lost miss empty alone cry pain empty tears,0
tears pain tears cry pain cold cry,0
dark alone miss miss tears,0
tears broken pain alone,0
miss alone alone dark lost dark cold broken,0
broken miss dark cry tears miss lost tears,0
lost miss miss lost lost empty alone empty,0
dark miss miss lost empty dark pain lost,0
cry pain alone dark alone pain cry,0
miss cold lost cry broken cold cold broken,0
broken tears lost alone broken cold dark cold,0
lost miss miss alone cold,0
cry empty dark cold broken,0
cold pain pain lost broken,0
miss cry pain dark broken tears broken lost,0
cry tears cry dark dark cry dark empty,0
tears miss alone pain tears alone miss tears,0
dark lost miss pain pain broken alone alone,0
broken broken alone lost miss lost miss cold,0
cold broken empty tears dark cry cry,0
broken broken alone cold,0
alone pain tears cry broken cold empty broken,0
alone broken miss alone cry,0
cry dark broken broken empty alone,0
cold lost lost lost cold cry lost,0
cold broken alone broken lost dark,0
cry tears empty tears cold empty pain,0
dark miss miss tears miss miss alone pain,0
broken pain dark broken cold empty miss,0
miss lost lost tears lost,0
tears cry lost cry cold,0
cold cry tears lost,0
cry pain lost tears,0
cry broken tears alone broken pain pain,0
dark cry alone tears tears cry,0
cold lost alone broken cry,0
cold miss empty lost pain empty alone empty,0
alone cold empty tears empty dark cold cold,0
miss dark miss broken,0
tears tears empty pain dark alone tears lost,0
empty alone tears cry broken miss dark lost,0
alone alone lost tears lost lost pain,0
tears tears cold cry empty dark cold,0
broken alone lost miss dark empty pain lost,0
broken alone lost empty,0
dark alone miss alone alone,0
tears empty empty cry,0
cold cold lost cold cry pain,0
broken lost dark cry tears cry tears,0
pain lost lost tears pain tears cry,0
empty empty cry pain broken tears broken pain,0
lost miss broken dark pain lost cry alone,0
broken broken dark alone alone,0
tears tears cry cold tears,0
empty lost tears cry cry,0
dark alone alone alone cold alone,0
cry cry miss lost miss cry,0
cry pain dark empty miss,0
empty dark lost empty broken alone cry pain,0
empty empty lost alone miss cry alone cold,0
miss tears pain lost pain pain cry cry,0
cold cry dark broken empty miss tears,0
cry empty cry cold miss dark miss,0
miss cold tears empty,0
lost empty alone pain,0
miss empty pain cry dark miss,0
alone broken tears lost broken empty alone,0
cry tears dark cry pain,0
cold cry dark pain,0
cry cry tears cold cry dark cold,0
empty cold miss pain pain,0
dark dark empty pain empty,0
miss miss tears pain empty,0
alone cry lost miss miss cold dark,0
broken cold dark dark pain,0
broken alone broken empty miss empty broken,0
broken tears cry alone alone,0
alone pain tears cry empty miss,0
cry miss cry pain,0
cold miss dark miss empty lost dark,0
broken miss pain miss alone empty cry,0
empty lost alone empty,0
cry cold miss empty broken,0
tears cold broken lost lost,0
lost dark cry tears cold lost dark miss,0
lost cry pain alone cold alone,0
cry cry broken dark dark,0
tears miss cry cold tears lost cold,0
cry lost lost dark,0
cold cold cry miss empty alone dark dark,0
dark broken dark empty cold,0
empty tears empty cold broken cry lost,0
dark miss alone dark cry cold,0
alone cry miss broken pain alone dark miss,0
tears miss cry lost,0
cold miss pain dark miss cry tears alone,0
tears cold broken cry miss,0
empty empty empty tears tears empty cold,0
cry lost broken lost,0
broken alone miss broken broken empty tears,0
alone pain lost empty,0
cry empty miss cold alone alone,0
tears alone dark tears lost empty,0
broken miss cold cry dark alone lost,0
alone miss cold lost miss pain,0
tears cry broken cold,0
lost cry cold lost broken alone,0
lost broken cold empty dark cry tears pain,0
tears cold alone alone miss,0
dark lost pain miss miss,0
pain miss tears lost cold cold broken cold,0
cold cold dark alone,0
tears dark cold tears broken cry,0
dark alone broken tears alone cry,0
empty broken tears cold,0
dark empty cry cry tears,0
alone lost cry miss cry miss,0
cry dark lost miss tears lost,0
lost cold pain broken cry alone cry,0
tears miss pain dark lost dark alone,0
cry cry pain cold tears tears,0
cold miss alone empty alone,0
dark lost dark tears,0
lost lost pain empty pain empty,0
cry alone cry alone,0
lost broken empty cry lost tears cry lost,0
alone dark dark empty,0
pain alone tears lost empty cold broken,0
broken lost alone alone,0
tears cold lost cry pain cold cry cold,0
lost broken dark empty empty cry,0
cry dark dark cold dark alone,0
alone pain cold dark cold,0
pain cold miss miss cold,0
tears alone alone lost dark,0
broken cry alone broken miss broken pain,0
broken miss cold alone broken tears,0
tears pain miss pain,0
lost cold dark cry alone tears,0
pain pain broken alone,0
cry broken broken broken alone lost lost lost,0
broken alone cold broken lost cold cold alone,0
alone cry pain empty cry lost alone broken,0
lost tears broken pain cold empty,0
miss alone alone dark tears cold pain empty,0
miss alone broken miss dark,0
lost cold alone empty,0
empty cold pain cry broken,0
pain pain broken broken,0
alone miss dark miss,0
tears dark tears alone,0
lost pain pain tears dark,0
dark cold lost empty pain miss cry alone,0
tears dark alone pain pain,0
dark cold pain empty miss,0
empty miss cry empty broken broken,0
dark dark cold cry tears pain cold,0
miss broken broken cry cry cry miss pain,0
miss empty empty tears tears empty cry empty,0
dark miss cry alone cold,0
empty cry cry tears lost tears dark,0
broken dark tears tears pain,0
pain miss lost tears cold empty tears pain,0
cry pain empty pain cold miss miss broken,0
cry pain broken empty tears pain pain broken,0
miss tears cry miss dark dark cold miss,0
cry dark pain alone empty cold,0
cry alone alone dark lost broken lost,0
miss dark tears dark,0
cold empty alone cry empty empty,0
broken tears cold empty miss cold cold miss,0
pain lost broken cry,0
broken broken cry lost,0
empty tears lost tears,0
cry empty tears dark alone cry cry cold,0
broken empty alone alone alone cry cold lost,0
pain empty dark tears cold dark broken,0
alone cry cold alone,0
cold broken lost cold tears tears,0
cry dark cry cry cold empty lost dark,0
cry pain dark broken miss cold cry,0
tears miss lost lost empty cry tears dark,0
pain broken empty cry dark dark broken,0
broken empty broken alone tears pain miss cry,0
broken dark empty empty empty cry,0
pain miss lost lost dark tears cry miss,0
cold empty miss dark,0
pain pain tears empty tears lost dark,0
tears broken broken empty,0
dark empty empty cold miss pain lost,0
pain alone tears cry,0
lost pain empty cold lost alone pain pain,0
tears empty dark miss alone empty cold,0
tears cold dark cry dark alone tears,0
cold lost cold cry empty broken tears cold,0
pain miss lost tears empty,0
lost pain cry miss alone pain dark,0
alone cold miss dark broken,0
alone cry tears dark,0
dark cold cry dark,0
dark dark miss empty tears,0
tears tears pain pain dark dark,0
