text,label
I feel lonely,0
"Honestly, this is not what i wanted",0
This makes me cry today,0
Oh this makes me cry,0
"Right now, i miss those times",0
I do not feel okay today,0
I do not like this situation.,0
Oh i feel lonely,0
"Right now, i lost my friend",0
This is not what I wanted.,0
I miss those times.,0
"Right now, this makes me cry",0
My day was terrible.,0
I am heartbroken today,0
I miss those times.,0
"Right now, i feel so down",0
"Right now, i am not fine today",0
This makes me cry today,0
Oh i am not fine today,0
I feel so down,0
Oh i am not happy,0
"Right now, i feel lonely",0
I feel lonely today,0
"Right now, i lost my friend",0
Oh i miss those times,0
Oh i do not feel okay,0
"Right now, i am not fine today",0
"Right now, i feel so down",0
I lost my friend today,0
This is not what I wanted,0
"Right now, i feel so down",0
I feel lonely today,0
I do not like this situation today,0
I feel lonely,0
"Right now, i do not like this situation",0
"Right now, my day was terrible",0
I am not fine today.,0
I am not happy today,0
"Honestly, i lost my friend",0
I feel lonely,0
I feel so down,0
"Honestly, i do not like this situation",0
"Right now, i do not like this situation",0
I am not happy.,0
I miss those times,0
I lost my friend,0
Nothing feels right.,0
"Honestly, my day was terrible",0
"Honestly, this makes me cry",0
I miss those times.,0
"Right now, nothing feels right",0
I wish things were different,0
This makes me cry today,0
"Right now, i do not like this situation",0
Oh i feel lonely,0
"Right now, my day was terrible",0
"Honestly, i am not fine today",0
This is not what I wanted,0
Oh i feel so down,0
This makes me cry today,0
This makes me cry.,0
"Honestly, i lost my friend",0
This makes me cry.,0
"Honestly, i do not feel okay",0
I am not fine today,0
"Honestly, i lost my friend",0
Oh i wish things were different,0
Oh i am not happy,0
Oh i am not fine today,0
Oh my day was terrible,0
I wish things were different,0
"Right now, i lost my friend",0
"Honestly, this is not what i wanted",0
I do not like this situation.,0
I feel lonely.,0
This is not what I wanted.,0
My day was terrible today,0
I feel lonely today,0
"Honestly, i wish things were different",0
I miss those times today,0
Oh i am not fine today,0
I feel so down,0
Oh i feel lonely,0
This is not what I wanted.,0
This makes me cry.,0
I am heartbroken,0
"Honestly, i am not fine today",0
I do not feel okay.,0
I wish things were different today,0
Oh i am not happy,0
"Right now, this is not what i wanted",0
Nothing feels right,0
"Right now, i am not fine today",0
I do not like this situation,0
"Honestly, i am heartbroken",0
I am not fine today.,0
This makes me cry.,0
"Honestly, this is not what i wanted",0
Nothing feels right today,0
"Honestly, i feel so down",0
"Honestly, i lost my friend",0
Oh this is not what i wanted,0
I am not fine today.,0
"Right now, i am heartbroken",0
"Honestly, i do not like this situation",0
"Right now, i feel so down",0
Everything is falling apart.,0
This is not what I wanted,0
Oh this is not what i wanted,0
Nothing feels right,0
"Right now, nothing feels right",0
I am heartbroken.,0
I wish things were different,0
Everything is falling apart.,0
I am not happy.,0
My day was terrible.,0
"Right now, everything is falling apart",0
"Right now, i feel so down",0
I do not like this situation,0
My day was terrible today,0
My day was terrible,0
This is not what I wanted.,0
"Right now, everything is falling apart",0
I wish things were different,0
"Right now, i feel so down",0
"Honestly, i do not feel okay",0
I feel lonely,0
"Right now, i am not happy",0
I am not happy.,0
I wish things were different.,0
Oh this is not what i wanted,0
Oh everything is falling apart,0
Oh this is not what i wanted,0
Nothing feels right,0
I do not feel okay,0
"Right now, i feel lonely",0
"Right now, this is not what i wanted",0
"Right now, i am not fine today",0
Oh this makes me cry,0
"Honestly, this is not what i wanted",0
"Honestly, i am not happy",0
This makes me cry.,0
This is not what I wanted,0
Everything is falling apart,0
I wish things were different.,0
Everything is falling apart today,0
Oh i do not feel okay,0
I miss those times,0
I feel lonely today,0
I feel lonely.,0
Oh i feel lonely,0
I am heartbroken.,0
"Honestly, this is not what i wanted",0
"Right now, this makes me cry",0
"Honestly, i am heartbroken",0
Nothing feels right,0
Everything is falling apart.,0
Oh i do not like this situation,0
I do not feel okay.,0
"Honestly, nothing feels right",0
My day was terrible today,0
I miss those times today,0
"Honestly, everything is falling apart",0
I wish things were different.,0
I am heartbroken.,0
"Right now, i feel lonely",0
I feel so down.,0
"Right now, this makes me cry",0
I do not like this situation.,0
My day was terrible today,0
Nothing feels right.,0
I miss those times,0
I lost my friend,0
"Right now, nothing feels right",0
Oh my day was terrible,0
I wish things were different.,0
This is not what I wanted.,0
I wish things were different.,0
I am not fine today.,0
Oh i do not like this situation,0
I am not fine today,0
"Right now, i lost my friend",0
"Honestly, i am heartbroken",0
I wish things were different today,0
I feel so down today,0
"Right now, i miss those times",0
"Honestly, my day was terrible",0
This makes me cry.,0
I do not feel okay,0
I wish things were different,0
"Right now, i wish things were different",0
"Honestly, i do not feel okay",0
I lost my friend today,0
Oh i feel so down,0
"Right now, this is not what i wanted",0
I lost my friend.,0
I lost my friend,0
"Right now, i lost my friend",0
"Right now, i am not fine today",0
"Right now, i feel lonely",0
I feel lonely today,0
I am not fine today,0
This makes me cry,0
"Right now, my day was terrible",0
Oh i do not like this situation,0
"Honestly, i am heartbroken",0
"Honestly, this makes me cry",0
"Right now, i am not fine today",0
Nothing feels right,0
I lost my friend,0
